bioid	biourl	fullname	wiki_fullname	wikientity	wikientity_dupechk	lastname	firstname	state	district	party	wiki_party	congress	wiki_congress	start time	end time
W000817	https://bioguideretro.congress.gov/Static_Files/data/W/W000817.xml	Elizabeth Warren	Elizabeth Warren	Q434706	1	Warren	Elizabeth	MA	Massachusetts	Democrat	Democratic Party	113	113th United States Congress	2013-01-03T00:00:00Z	2015-01-03T00:00:00Z
								MA	Massachusetts	Democrat	Democratic Party	114	114th United States Congress	2015-01-03T00:00:00Z	2017-01-03T00:00:00Z
								MA	Massachusetts	Democrat	Democratic Party	115	115th United States Congress	2017-01-03T00:00:00Z	2019-01-03T00:00:00Z
								MA	Massachusetts	Democrat	Democratic Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
H000246	https://bioguideretro.congress.gov/Static_Files/data/H/H000246.xml	John spafford Harris	John S. Harris	Q1423728	1	Harris	John spafford	LA	Louisiana	Republican	Republican Party	40	40th United States Congress	1867-03-04T00:00:00Z	1869-03-04T00:00:00Z
								LA	Louisiana	Republican	Republican Party	41	41st United States Congress	1869-03-04T00:00:00Z	1871-03-04T00:00:00Z
M000315	https://bioguideretro.congress.gov/Static_Files/data/M/M000315.xml	Joseph raymond Mccarthy	Joseph McCarthy	Q189197	1	Mccarthy	Joseph raymond	WI	Wisconsin	Republican	Republican Party	80	80th United States Congress	1947-01-03T00:00:00Z	1949-01-03T00:00:00Z
								WI	Wisconsin	Republican	Republican Party	81	81st United States Congress	1949-01-03T00:00:00Z	1951-01-03T00:00:00Z
								WI	Wisconsin	Republican	Republican Party	82	82nd United States Congress	1951-01-03T00:00:00Z	1953-01-03T00:00:00Z
								WI	Wisconsin	Republican	Republican Party	83	83rd United States Congress	1953-01-03T00:00:00Z	1955-01-03T00:00:00Z
								WI	Wisconsin	Republican	Republican Party	84	84th United States Congress	1955-01-03T00:00:00Z	1957-01-03T00:00:00Z
								WI	Wisconsin	Republican	Republican Party	85	85th United States Congress	1957-01-03T00:00:00Z	1959-01-03T00:00:00Z
T000412	https://bioguideretro.congress.gov/Static_Files/data/T/T000412.xml	Thomas battle Turley	Thomas B. Turley	Q6217038	1	Turley	Thomas battle	TN	Tennessee	Democrat	Democratic Party	55	55th United States Congress	1897-03-04T00:00:00Z	1899-03-04T00:00:00Z
								TN	Tennessee	Democrat	Democratic Party	56	56th United States Congress	1899-03-04T00:00:00Z	1901-03-04T00:00:00Z
C000875	https://bioguideretro.congress.gov/Static_Files/data/C/C000875.xml	Winthrop murray Crane	Winthrop M. Crane	Q681464	1	Crane	Winthrop murray	MA	Massachusetts	Republican	Republican Party	58	58th United States Congress	1903-03-04T00:00:00Z	1905-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	59	59th United States Congress	1905-03-04T00:00:00Z	1907-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	60	60th United States Congress	1907-03-04T00:00:00Z	1909-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	61	61st United States Congress	1909-03-04T00:00:00Z	1911-03-04T00:00:00Z
								MA	Massachusetts	Republican	Republican Party	62	62nd United States Congress	1911-03-04T00:00:00Z	1913-03-04T00:00:00Z
G000414	https://bioguideretro.congress.gov/Static_Files/data/G/G000414.xml	James stephen Green	James S. Green	Q1681068	1	Green	James stephen	MO	Missouri	Democrat	Democratic Party	34	34th United States Congress	1855-03-04T00:00:00Z	1857-03-04T00:00:00Z
								MO	Missouri	Democrat	Democratic Party	35	35th United States Congress	1857-03-04T00:00:00Z	1859-03-04T00:00:00Z
								MO	Missouri	Democrat	Democratic Party	36	36th United States Congress	1859-03-04T00:00:00Z	1861-03-04T00:00:00Z
H000291	https://bioguideretro.congress.gov/Static_Files/data/H/H000291.xml	Philip aloysius Hart	Philip Hart	Q2086224	1	Hart	Philip aloysius	MI	Michigan	Democrat	Democratic Party	86	86th United States Congress	1959-01-03T00:00:00Z	1961-01-03T00:00:00Z
								MI	Michigan	Democrat	Democratic Party	87	87th United States Congress	1961-01-03T00:00:00Z	1963-01-03T00:00:00Z
								MI	Michigan	Democrat	Democratic Party	88	88th United States Congress	1963-01-03T00:00:00Z	1965-01-03T00:00:00Z
								MI	Michigan	Democrat	Democratic Party	89	89th United States Congress	1965-01-03T00:00:00Z	1967-01-03T00:00:00Z
								MI	Michigan	Democrat	Democratic Party	90	90th United States Congress	1967-01-03T00:00:00Z	1969-01-03T00:00:00Z
								MI	Michigan	Democrat	Democratic Party	91	91st United States Congress	1969-01-03T00:00:00Z	1971-01-03T00:00:00Z
								MI	Michigan	Democrat	Democratic Party	92	92nd United States Congress	1971-01-03T00:00:00Z	1973-01-03T00:00:00Z
								MI	Michigan	Democrat	Democratic Party	93	93rd United States Congress	1973-01-03T00:00:00Z	1975-01-03T00:00:00Z
								MI	Michigan	Democrat	Democratic Party	94	94th United States Congress	1975-01-03T00:00:00Z	1977-01-03T00:00:00Z
T000348	https://bioguideretro.congress.gov/Static_Files/data/T/T000348.xml	Uriah Tracy	Uriah Tracy	Q650446	1	Tracy	Uriah	CT	Connecticut	Federalist	Federalist Party	4	4th United States Congress	1795-03-04T00:00:00Z	1797-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	5	5th United States Congress	1797-03-04T00:00:00Z	1799-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	6	6th United States Congress	1799-03-04T00:00:00Z	1801-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	7	7th United States Congress	1801-03-04T00:00:00Z	1803-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	8	8th United States Congress	1803-03-04T00:00:00Z	1805-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	9	9th United States Congress	1805-03-04T00:00:00Z	1807-03-04T00:00:00Z
								CT	Connecticut	Federalist	Federalist Party	10	10th United States Congress	1807-03-04T00:00:00Z	1809-03-04T00:00:00Z
D000622	https://bioguideretro.congress.gov/Static_Files/data/D/D000622.xml	Tammy Duckworth	Tammy Duckworth	Q3036410	1	Duckworth	Tammy	IL	Illinois	Democrat	Democratic Party	115	115th United States Congress	2017-01-03T00:00:00Z	2019-01-03T00:00:00Z
								IL	Illinois	Democrat	Democratic Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
G000366	https://bioguideretro.congress.gov/Static_Files/data/G/G000366.xml	Elijah sherman Grammer	Elijah S. Grammer	Q1329430	1	Grammer	Elijah sherman	WA	Washington	Republican	Republican Party	72	72nd United States Congress	1931-03-04T00:00:00Z	1933-03-04T00:00:00Z
C000068	https://bioguideretro.congress.gov/Static_Files/data/C/C000068.xml	Simon Cameron	Simon Cameron	Q1348975	1	Cameron	Simon	PA	Pennsylvania	Democrat	Democratic Party	29	29th United States Congress	1845-03-04T00:00:00Z	1847-03-04T00:00:00Z
								PA	Pennsylvania	Democrat	Democratic Party	30	30th United States Congress	1847-03-04T00:00:00Z	1849-03-04T00:00:00Z
								PA	Pennsylvania	Republican	Republican Party	35	35th United States Congress	1857-03-04T00:00:00Z	1859-03-04T00:00:00Z
								PA	Pennsylvania	Republican	Republican Party	36	36th United States Congress	1859-03-04T00:00:00Z	1861-03-04T00:00:00Z
								PA	Pennsylvania	Republican	Republican Party	37	37th United States Congress	1861-03-04T00:00:00Z	1863-03-04T00:00:00Z
								PA	Pennsylvania	Republican	Republican Party	40	40th United States Congress	1867-03-04T00:00:00Z	1869-03-04T00:00:00Z
								PA	Pennsylvania	Republican	Republican Party	41	41st United States Congress	1869-03-04T00:00:00Z	1871-03-04T00:00:00Z
								PA	Pennsylvania	Republican	Republican Party	42	42nd United States Congress	1871-03-04T00:00:00Z	1873-03-04T00:00:00Z
								PA	Pennsylvania	Republican	Republican Party	43	43rd United States Congress	1873-03-04T00:00:00Z	1875-03-04T00:00:00Z
								PA	Pennsylvania	Republican	Republican Party	44	44th United States Congress	1875-03-04T00:00:00Z	1877-03-04T00:00:00Z
								PA	Pennsylvania	Republican	Republican Party	45	45th United States Congress	1877-03-04T00:00:00Z	1879-03-04T00:00:00Z
B000433	https://bioguideretro.congress.gov/Static_Files/data/B/B000433.xml	George mortimer Bibb	George M. Bibb	Q1378961	1	Bibb	George mortimer	KY	Kentucky	Democratic Republican	Democratic-Republican Party	12	12th United States Congress	1811-03-04T00:00:00Z	1813-03-04T00:00:00Z
								KY	Kentucky	Democratic Republican	Democratic-Republican Party	13	13th United States Congress	1813-03-04T00:00:00Z	1815-03-04T00:00:00Z
								KY	Kentucky	Jacksonian	Jacksonian	21	21st United States Congress	1829-03-04T00:00:00Z	1831-03-04T00:00:00Z
